date,page_views,unique_visitors,bounce_rate,avg_session_duration,conversions,source
2024-01-01,4520,1890,42.3,185,67,Organic
2024-01-01,3200,1340,38.1,210,82,Paid
2024-01-01,1800,920,55.2,95,23,Social
2024-01-01,980,510,48.7,140,31,Referral
2024-01-08,4890,2010,40.1,192,73,Organic
2024-01-08,3500,1450,36.5,218,89,Paid
2024-01-08,2100,1050,52.8,102,28,Social
2024-01-08,1050,540,46.3,148,35,Referral
2024-01-15,5200,2150,39.2,198,78,Organic
2024-01-15,3800,1580,35.0,225,95,Paid
2024-01-15,2300,1140,51.0,108,32,Social
2024-01-15,1120,580,44.8,155,38,Referral
2024-01-22,5500,2280,38.0,205,84,Organic
2024-01-22,4100,1700,33.8,232,101,Paid
2024-01-22,2500,1230,49.5,115,36,Social
2024-01-22,1200,620,43.1,162,42,Referral
2024-02-01,5800,2400,37.1,210,89,Organic
2024-02-01,4300,1780,32.5,238,107,Paid
2024-02-01,2700,1320,48.0,120,40,Social
2024-02-01,1280,660,41.5,168,45,Referral
2024-02-08,6100,2530,36.2,215,94,Organic
2024-02-08,4600,1900,31.2,245,113,Paid
2024-02-08,2900,1410,46.5,126,44,Social
2024-02-08,1350,700,40.0,175,49,Referral
2024-02-15,6500,2680,35.0,222,100,Organic
2024-02-15,4900,2020,30.0,252,120,Paid
2024-02-15,3100,1500,45.0,132,48,Social
2024-02-15,1430,740,38.5,182,53,Referral
2024-02-22,6800,2820,34.1,228,105,Organic
2024-02-22,5200,2150,29.0,258,126,Paid
2024-02-22,3300,1590,43.8,138,52,Social
2024-02-22,1510,780,37.2,188,57,Referral
2024-03-01,7200,2980,33.0,235,112,Organic
2024-03-01,5500,2280,28.0,265,133,Paid
2024-03-01,3500,1680,42.5,145,56,Social
2024-03-01,1600,830,36.0,195,61,Referral
2024-03-08,7500,3100,32.0,240,118,Organic
2024-03-08,5800,2400,27.0,270,139,Paid
2024-03-08,3700,1770,41.2,150,60,Social
2024-03-08,1680,870,35.0,200,65,Referral
